login_count,activity_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count,dropout
2.0,4,2.0,999,0.0,0,0,0.0,0,1
8.0,27,15.0,999,0.0,0,0,0.0,0,1
2.0,10,8.0,1588,0.0,0,0,1.0,0,1
2.0,7,5.0,999,0.0,0,0,0.0,0,1
1.0,7,6.0,999,0.0,0,0,0.0,0,1
15.0,319,274.0,999,0.0,2,0,1.0,0,0
2.0,6,4.0,999,0.0,0,0,0.0,0,1
2.0,30,24.0,999,0.0,0,0,0.0,0,1
37.0,354,296.0,1514,0.0,2,0,1.0,1,0
20.0,208,174.0,999,0.0,0,0,1.0,0,1
1.0,3,1.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,1725,0.0,0,0,0.0,0,1
2.0,10,5.0,999,0.0,0,0,0.0,0,1
3.0,15,7.0,1720,0.0,0,0,0.0,0,1
1.0,3,1.0,999,0.0,0,0,0.0,0,1
3.0,16,7.0,1722,0.0,0,0,0.0,0,1
1.0,3,2.0,1877,0.0,0,0,1.0,0,1
41.0,608,545.0,1935,0.0,2,0,1.0,0,0
1.0,2,1.0,999,0.0,0,0,0.0,0,1
31.0,339,296.0,999,0.0,0,0,1.0,0,1
43.0,369,302.0,791,21.766234285,0,0,0.5,5,0
1.0,2,1.0,1788,0.0,0,0,0.0,0,1
1.0,3,2.0,1843,0.0,0,0,0.0,0,1
57.0,563,443.0,1604,0.0,6,0,1.0,0,0
1.0,3,1.0,999,0.0,0,0,0.0,0,1
1.0,7,4.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,24,22.0,999,0.0,0,0,0.0,0,1
1.0,12,7.0,1714,0.0,0,0,0.0,0,1
404.0,503,55.0,999,0.0,0,0,0.0,0,1
1.0,4,2.0,999,0.0,0,0,0.0,0,1
1.0,9,6.0,999,0.0,0,0,0.0,0,1
1.0,1,0.0,999,0.0,0,0,0.0,0,1
1.0,9,5.0,999,0.0,0,0,0.0,0,1
1.0,17,12.0,1578,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
2.0,7,3.0,999,0.0,0,0,0.0,0,1
70.0,481,375.0,999,0.0,0,0,1.0,0,1
8.0,39,31.0,1536,0.0,0,0,1.0,0,1
5.0,20,10.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
2.0,9,7.0,999,0.0,0,0,0.0,0,1
41.0,373,298.0,999,0.0,0,0,0.0,0,1
2.0,28,20.0,1720,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
5.0,106,93.0,1298,20.0,0,0,1.0,1,0
1.0,2,1.0,1896,0.0,0,0,0.0,0,1
1.0,7,6.0,999,0.0,0,0,0.0,0,1
1.0,4,3.0,999,0.0,0,0,0.0,0,1
33.0,442,384.0,889,16.0,2,0,1.0,1,0
1.0,3,1.0,999,0.0,0,0,0.0,0,1
6.0,113,91.0,999,0.0,2,0,0.66667,0,0
7.0,41,29.0,1737,0.0,0,0,0.0,0,1
55.0,505,426.0,999,0.0,0,0,0.0,0,1
1.0,4,1.0,999,0.0,0,0,0.0,0,1
2.0,4,2.0,999,0.0,0,0,0.0,0,1
45.0,365,298.0,999,0.0,0,0,0.0,0,1
32.0,329,275.0,999,0.0,0,0,0.0,0,1
1.0,9,6.0,999,0.0,0,0,0.0,0,1
1.0,5,2.0,999,0.0,0,0,0.0,0,1
1.0,5,2.0,999,0.0,0,0,0.0,0,1
4.0,155,140.0,1298,6.041665,0,0,0.0,2,0
31.0,398,343.0,514,22.0,2,0,1.0,2,0
2.0,40,29.0,1298,19.0,0,0,0.0,1,1
1.0,24,22.0,1723,0.0,0,0,0.0,0,1
1.0,7,3.0,999,0.0,0,0,0.0,0,1
1.0,2,1.0,999,0.0,0,0,0.0,0,1
1.0,3,2.0,999,0.0,0,0,0.0,0,1
