userid,activity_count,login_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count
46840,37,1.0,29.0,1298,16.66667,0,0,1.0,1
46841,135,3.0,115.0,1297,11.041665,0,0,1.0,5
46842,228,33.0,182.0,185,10.541665,0,0,1.0,2
46843,66,5.0,51.0,1296,11.541665,0,0,0.66667,2
46844,76,3.0,63.0,1298,8.875,0,0,0.5,2
46845,81,9.0,61.0,1295,9.875,0,0,1.0,2
46847,108,10.0,84.0,1284,6.109524,0,0,1.0,3
46848,188,6.0,158.0,1300,14.133332,0,0,1.0,5
46849,91,6.0,75.0,1298,11.666665,0,0,1.0,2
46850,413,31.0,352.0,153,12.594443333,6,0,1.0,4
46851,37,3.0,28.0,1298,18.33333,0,0,0.0,1
46852,217,1.0,204.0,1249,8.875,0,0,1.0,2
46853,91,4.0,74.0,1298,11.041665,0,0,1.0,2
46854,94,3.0,77.0,1293,8.75,0,0,1.0,3
46855,83,5.0,67.0,1286,10.708335,0,0,1.0,2
46856,110,9.0,89.0,1243,10.75,0,0,1.0,2
46857,66,3.0,51.0,1298,11.208335,0,0,0.0,2
46858,33,1.0,25.0,1298,14.0,0,0,0.0,1
46859,90,3.0,78.0,1298,9.875,0,0,0.0,2
46860,102,5.0,81.0,1260,10.125,0,0,0.0,3
46861,57,4.0,45.0,1298,14.33333,0,0,0.0,1
46862,39,2.0,27.0,1298,7.541665,0,0,0.0,2
46863,89,3.0,73.0,1275,9.375,0,0,0.0,3
46864,78,2.0,66.0,1298,8.0,0,0,0.0,1
46865,82,5.0,64.0,1200,11.875,0,0,0.0,3
46866,6504,3823.0,2660.0,495,13.0,0,0,0.0,4
46867,201,3.0,184.0,1295,10.5,0,0,0.33333,3
46868,293,7.0,270.0,1241,10.625,0,0,0.0,3
46869,132,5.0,108.0,1298,10.933332,0,0,0.0,3
46870,73,4.0,54.0,1298,9.166665,0,0,1.0,2
46871,180,13.0,144.0,1298,6.666665,0,0,0.0,2
46872,62,2.0,50.0,1298,19.33333,0,0,0.0,1
46873,100,8.0,78.0,1295,9.291665,0,0,0.0,2
46874,84,8.0,66.0,1296,4.791665,0,0,0.0,2
46875,64,2.0,47.0,1298,8.208335,0,0,0.0,4
46876,293,13.0,267.0,1296,9.25,0,0,0.5,3
46877,60,4.0,50.0,1298,13.0,0,0,0.0,1
46878,69,1.0,61.0,1298,15.0,0,0,0.5,1
46880,31,1.0,25.0,1298,9.33333,0,0,0.0,1
46881,60,2.0,51.0,1298,16.0,0,0,0.0,1
46882,40,1.0,34.0,1298,9.0,0,0,0.0,1
46883,103,6.0,78.0,1297,18.888886666,0,0,1.0,4
46884,66,5.0,48.0,1298,6.458335,0,0,1.0,2
46886,75,2.0,62.0,1298,6.75,0,0,1.0,2
46887,108,8.0,88.0,1298,7.291665,0,0,1.0,2
46888,134,2.0,121.0,1298,5.25,0,0,0.5,2
46889,131,10.0,102.0,1298,8.875,0,0,1.0,3
46890,73,4.0,58.0,1298,9.125,0,0,1.0,3
46893,151,4.0,134.0,1298,8.958335,0,0,0.0,3
46895,68,3.0,52.0,1298,9.833335,0,0,0.0,3
46896,186,7.0,165.0,1286,13.766668,0,0,1.0,3
46897,101,7.0,77.0,1298,10.416665,0,0,1.0,2
46898,118,8.0,99.0,1298,9.25,0,0,0.33333,2
46899,127,8.0,99.0,1295,12.0,0,0,1.0,5
46900,50,3.0,37.0,1298,9.66667,0,0,0.0,1
46901,143,6.0,122.0,1298,9.5,0,0,0.66667,2
46902,67,3.0,57.0,1298,7.33333,0,0,0.0,1
46903,110,4.0,98.0,1298,7.125,0,0,0.5,2
46904,67,3.0,54.0,1298,10.375,0,0,0.0,2
46905,380,29.0,328.0,185,9.166666666,5,0,0.83333,4
46906,75,4.0,63.0,1296,4.166665,0,0,0.0,2
46907,122,10.0,85.0,1298,9.0,0,0,1.0,3
46908,112,3.0,95.0,1298,11.968253333,0,0,1.0,2
46909,72,6.0,52.0,1298,11.5,0,0,1.0,3
46910,95,2.0,80.0,1298,9.75,0,0,0.0,3
46911,89,6.0,72.0,1298,12.0,0,0,1.0,1
46912,83,3.0,67.0,1298,15.555553333,0,0,0.0,3
46913,100,10.0,76.0,1298,8.25,0,0,1.0,3
46914,32,1.0,23.0,1298,6.33333,0,0,0.0,1
46915,58,2.0,46.0,1298,6.916665,0,0,0.0,2
46916,140,8.0,120.0,1298,6.416665,0,0,0.66667,2
46917,114,7.0,78.0,1298,12.0,0,0,1.0,6
46918,352,45.0,259.0,522,11.571428571,2,0,1.0,4
46919,103,11.0,76.0,1126,6.25,0,0,0.0,2
46920,174,4.0,155.0,1298,10.291665,0,0,1.0,4
46921,66,5.0,51.0,1206,6.583335,0,0,1.0,2
46922,117,5.0,93.0,1298,10.666665,0,0,1.0,5
46923,145,6.0,129.0,1298,14.0,0,0,0.0,1
46924,103,5.0,88.0,1296,6.416665,0,0,1.0,2
46926,282,19.0,233.0,174,8.805556666,7,0,1.0,4
46927,37,2.0,27.0,1298,9.916665,0,0,0.0,2
46928,594,81.0,483.0,174,7.533333333,6,0,1.0,3
46929,175,6.0,154.0,1298,10.916665,0,0,0.0,3
46930,342,27.0,294.0,174,8.094443333,6,0,1.0,3
46931,96,4.0,76.0,1298,11.041665,0,0,1.0,3
46932,75,4.0,62.0,1298,6.083335,0,0,0.0,2
46933,398,43.0,335.0,184,8.81111,6,0,0.71429,3
46934,61,4.0,49.0,1298,7.5,0,0,0.0,2
46935,89,3.0,68.0,1298,10.0,0,0,1.0,3
46936,122,3.0,109.0,1298,9.916665,0,0,0.0,2
46937,114,3.0,98.0,1296,4.842856,0,0,1.0,3
46938,8451,5298.0,3137.0,1298,7.916665,0,0,1.0,2
46939,84,2.0,72.0,1298,10.083335,0,0,0.0,2
46940,33,1.0,25.0,1298,9.33333,0,0,0.0,1
46941,118,3.0,101.0,1296,6.291665,0,0,0.0,2
46942,127,5.0,108.0,1298,5.25,0,0,0.0,2
46943,501,67.0,382.0,169,5.291665,6,0,1.0,2
46944,56,2.0,39.0,1298,12.166665,0,0,1.0,3
46945,52,1.0,45.0,1298,8.0,0,0,0.0,1
46946,47,3.0,34.0,1298,3.625,0,0,0.0,2
46947,120,2.0,107.0,1298,7.416665,0,0,0.5,2
46948,61,2.0,47.0,1298,5.75,0,0,1.0,2
46949,94,5.0,75.0,1298,11.041665,0,0,1.0,2
46950,127,3.0,97.0,1298,13.133332,0,0,0.0,6
46951,100,2.0,87.0,1298,7.583335,0,0,1.0,3
46952,123,8.0,104.0,1298,7.958335,0,0,1.0,2
46953,538,42.0,467.0,119,17.85,2,0,0.75,7
46954,119,4.0,106.0,1298,6.791665,0,0,0.0,2
46955,60,3.0,46.0,1298,4.75,0,0,0.0,2
46956,53,3.0,39.0,1298,4.791665,0,0,1.0,2
46957,81,6.0,65.0,1298,9.083335,0,0,0.0,2
